Would you go to Living_Sofa take white_cup bring it to Reception_Table .,Move ( Living_Sofa ) Find ( white_cup Living_Sofa ) Grasp ( white_cup ) Move ( Reception_Table )
Move to Side_Table go to Dining_Table then exit the apartment .,Move ( Side_Table ) Move ( Dining_Table ) Move ( apartment )
Move to Living_Sofa Grasp Bleach leave the apartment please .,Move ( Living_Sofa ) Find ( Bleach Living_Sofa ) Grasp ( Bleach ) Move ( apartment )
Go to lobby find a person neayby finally follow a person .,Move ( lobby ) Find ( person lobby ) Follow ( person )
Move to Reception_Table next detect Seafood_Noodle get it .,Move ( Reception_Table ) Find ( Seafood_Noodle Reception_Table ) Grasp ( Seafood_Noodle )
Go to kitchen Grasp Onion_Dressing throw it into Dustbin okay .,Move ( kitchen ) Find ( Onion_Dressing kitchen ) Grasp ( Onion_Dressing ) Move ( Dustbin ) Place ( Onion_Dressing Dustbin ) 
Can you go to Side_Table take Bath_Cleaner carry it to Dining_Sofa .,Move ( Side_Table ) Find ( Bath_Cleaner Side_Table ) Grasp ( Bath_Cleaner ) Move ( Dining_Sofa )
Would you move to Reception_Table take Orange_Juice then come back .,Move ( Reception_Table ) Find ( Orange_Juice Reception_Table ) Grasp ( Orange_Juice ) Move ( HERE )
Go to Kitchen_Table Grasp filled_plastic_bottle leave the apartment please .,Move ( Kitchen_Table ) Grasp ( filled_plastic_bottle ) Move ( apartment )
Go to kitchen go to Dining_Table then exit the apartment .,Move ( kitchen ) Move ( Dining_Table ) Move ( apartment )
Go to Dining_Room move to Kitchen_Table finally leave the apartment .,Move ( Dining_Room ) Move ( Kitchen_Table ) Move ( apartment )
Go to lobby take Red_Potato put it on Side_Table please .,Move ( lobby ) Find ( Red_Potato lobby ) Grasp ( Red_Potato ) Move ( Side_Table ) Place ( Red_Potato Side_Table )
Well move to Dining_Sofa Grasp cigarette then come back .,Move ( Dining_Sofa ) Move ( cigarette ) Move ( HERE )
Go to Corridor find a person neayby finally follow a person .,Move ( Corridor ) Find ( person Corridor ) Follow ( person )
Go to Dining_Table get Long_Potato exit from lobby okay .,Move ( Dining_Table ) Find ( Long_Potato Dining_Table ) Grasp ( Long_Potato ) Move ( lobby )
Go to Dining_Table take Red_Tea put it on Reception_Table please .,Move ( Dining_Table ) Find ( Red_Tea Dining_Table ) Grasp ( Red_Tea ) Plcae ( Red_Tea Reception_Table )
Go to Dining_Sofa go to Dining_Room and leave the apartment .,Move ( Dining_Sofa ) Move ( Dining_Room ) Move ( apartment )
Move to Reception_Table and detect camera get it .,Move ( Reception_Table ) Find ( camera Reception_Table ) Grasp ( camera )
Go to kitchen take spray_bottle put it on Bar please .,Move ( kitchen ) Find ( spray_bottle kitchen ) Grasp ( spray_bottle ) Move ( Bar ) Place ( spray_bottle Bar )
Go to Visitor_Room er find a person neayby bring Japanese_Dressing from Dining_Table .,Move ( Visitor_Room ) Find ( person Visitor_Room ) Move ( Dining_Table ) Grasp ( Japanese_Dressing )
Go to Living_Table go to Visitor_Room and exit the apartment .,Move ( Living_Table ) Move ( Living_Table ) Move ( apartment )
Well go to Living_Table take Lemon_Tea finally come back .,Move ( Living_Table ) Grasp ( Lemon_Tea ) Move ( HERE )
Go to Kitchen_Room get twin_bell_alarm_clock throw it into Dustbin please .,Move ( Kitchen_Room ) Find ( twin_bell_alarm_clock Kitchen_Room ) Grasp ( twin_bell_alarm_clock ) Move ( Dustbin ) Place ( twin_bell_alarm_clock Dustbin )
Go to Living_Table take Egg_Soup put it on Living_Sofa okay .,Move ( Living_Table ) Grasp ( Egg_Soup ) Move ( Living_Sofa ) Place ( Egg_Soup Living_Table )
Go to Dining_Sofa move to Dining_Table then leave the apartment .,Move ( Dining_Sofa ) Move ( Dining_Table ) Move ( apartment )
Would you go to Dining_Table take sugar er come back .,Move ( Dining_Table ) Find ( sugar Dining_Table ) Grasp ( sugar ) Move ( HERE )
Well move to Dining_Sofa get Egg_Soup and come back .,Move ( Dining_Sofa ) Grasp ( Egg_Soup ) Move ( Dining_Sofa ) Grasp ( Egg_Soup ) Move ( HERE )
Would you go to Kitchen_Room Grasp Dish_Cleaner er come back .,Move ( Kitchen_Room ) Find ( Dish_Cleaner Kitchen_Room ) Move ( HERE )
Go to Dining_Sofa and detect nursing_bottle Grasp it .,Move ( Dining_Sofa ) Find ( nursing_bottle Dining_Sofa ) Grasp ( nursing_bottle ) 
Would you go to lobby Grasp soysauce finally come back .,Move ( lobby ) Find ( soysauce lobby ) Grasp ( soysauce ) Move ( HERE )
Go to Kitchen_Table move to Sofa then leave the apartment .,Move ( Kitchen_Table ) Move ( Sofa ) Move ( apartment )
Would you bring soysauce from Living_Table move to Dining_Table go to lobby .,Move ( Living_Table ) Find ( soysauce Living_Table ) Move ( Dining_Table ) Move ( lobby )
Go to Kitchen_Room er find a person neayby bring toy_duck from Reception_Table .,Move ( Kitchen_Room ) Find ( person Kitchen_Room ) Move ( Reception_Table ) Grasp ( toy_duck )
Would you move to Side_Table get Green_Tea bring it to Kitchen_Table .,Move ( Side_Table ) Find ( Green_Tea Side_Table ) Grasp ( Green_Tea ) Move ( Kitchen_Table )
Call a person then ask for an order get pink_cup from Kitchen_Table .,Say ( person ) Listen ( pink_cup ) Move ( Kitchen_Table ) Find ( pink_cup Kitchen_Table ) Grasp ( pink_cup ) Move ( pink_cup ) Place ( pink_cup Kitchen_Table ) 
Go to Corridor take Blue_Potato put it on Reception_Table please .,Move ( Corridor ) Find ( Blue_Potato Corridor ) Grasp ( Blue_Potato ) Move ( Reception_Table ) Place ( Blue_Potato Reception_Table )
